scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,36.7768,2026-04-05
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3309.6622,2026-04-05
118701,INF204K01ZH0,,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,6758.7857,2026-04-05
119303,INF582M01674,,Union Liquid Fund - Direct Plan - Growth Option,2663.0973,2026-04-05
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3179.678,2026-04-05
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3182.3728,2026-04-05
119861,INF277K01YE6,,Tata Liquid Fund- Direct Plan-Growth Option,4358.0672,2026-04-05
120038,INF336L01CC8,,HSBC Liquid Fund -  Growth Direct,2750.9361,2026-04-05
120249,INF767K01DN1,,LIC MF Liquid Fund-Direct Plan-Growth,5012.903,2026-04-05
120406,INF192K01CM6,,JM Liquid Fund (Direct) - Growth Option,75.33,2026-04-05
125345,INF579M01621,,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,2115.4963,2026-04-05
138299,INF223J01NS5,,PGIM India Liquid Fund - Direct Plan - Growth,360.2324,2026-04-05
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1798.2744,2026-04-05
140194,INF754K01GY9,,Edelweiss Liquid Fund - Direct Plan - Bonus Option,2076.1027,2026-04-05
140196,INF754K01GM4,,Edelweiss Liquid Fund - Direct Plan - Growth Option,3568.5265,2026-04-05
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1526.7107,2026-04-05
145810,INF204KB1R31,,Nippon India Overnight Fund - Direct Plan - Growth Option,144.7975,2026-04-05
145834,INF247L01734,,Motilal Oswal Liquid Fund - Direct Growth,14.5605,2026-04-05
145971,INF03VN01043,,WhiteOak Capital Liquid Fund- Direct plan-Growth Option,1478.2691,2026-04-05
146963,INF903JA1HG5,,Sundaram Overnight Fund Direct Plan - Growth,1431.5737,2026-04-05
146978,,INF277K019T3,TATA Overnight Fund Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option,1000.0,2026-04-05
146980,INF277K018T5,,Tata Overnight Fund-Direct Plan-Growth,1422.8684,2026-04-05
147003,INF582M01FA2,,Union Overnight Fund - Direct Plan - Growth Option,1418.7999,2026-04-05
147157,INF00XX01283,,ITI Liquid Fund - Direct Plan - Growth Option,1435.0747,2026-04-05
147196,INF955L01HV4,,Baroda BNP Paribas Overnight Fund - Direct Plan - Growth,1415.7704,2026-04-05
